"","species","lat","lon"
"540","Castilleja linariifolia",41.46733,-111.3175
"541","Castilleja linariifolia",39.47667,-110.27998
"542","Castilleja linariifolia",40.19077,-111.18893
"543","Castilleja linariifolia",36.3401,-115.6521
"544","Castilleja linariifolia",39.95014,-111.2123
"545","Castilleja linariifolia",40.28367,-111.55237
"546","Castilleja linariifolia",40.42283,-111.68906
"547","Castilleja linariifolia",40.03323,-111.35676
"548","Castilleja linariifolia",40.03323,-111.35676
"549","Castilleja linariifolia",39.6895,-111.20036
"550","Castilleja linariifolia",36.88728,-111.64745
"551","Castilleja linariifolia",37.97294,-110.75913
"552","Castilleja linariifolia",36.035,-105.4441
"553","Castilleja linariifolia",41.9055,-111.4777
"554","Castilleja linariifolia",36.81925,-112.05685
"555","Castilleja linariifolia",40.91329,-111.78377
"556","Castilleja linariifolia",37.71783,-111.62822
"557","Castilleja linariifolia",39.5756,-109.0548
"558","Castilleja linariifolia",38.86626,-111.55101
